PRECINCT,60 YEARS OLD OR MORE,ANTI-ARAB,ANTI-ASIAN,ANTI-BLACK,ANTI-CATHOLIC,ANTI-FEMALE,"ANTI-FEMALE HOMOSEXUAL
(GAY)",ANTI-GENDER NON CONFORMING,ANTI-HINDU,ANTI-HISPANIC,"ANTI-ISLAMIC
(MUSLIM)",ANTI-JEWISH,"ANTI-LGBT
(MIXED GROUP)","ANTI-MALE HOMOSEXUAL
(GAY)",ANTI-MULTI RACIAL GROUPS,ANTI-OTHER ETHNICITY,ANTI-RELIGIOUS PRACTICE GENERALLY,ANTI-TRANSGENDER,ANTI-WHITE,Total
111,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,7
112,0,0,2,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,8
113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
115,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3
120,0,0,1,6,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,14
121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Total,1,1,27,41,9,6,4,2,2,1,4,116,2,25,2,6,2,4,10,265
